序号,ASIN,产品名称,价格,评分,评论数,佣金率,搜索量/月
1,B0D4DVQDR4,RENPHO Foot Massager,$139.98,4.3,30362,8%,-
2,B0CQ2QHHG9,RENPHO Leg Massager,$109.99,4.0,7235,8%,-
3,B07ZJND4FS,Custom Coat Urethane Spray,$119.99,4.6,1954,14%,-
4,B01N2LP1I0,DELIE Compression Girdle,$113.00,4.2,1625,14%,-
5,B085QKQ3HD,GROWNSY UV Sanitizer,$129.99,4.5,1435,7%,-
6,B0CTXXZSML,RENPHO Foot Massager,$259.99,4.5,1429,7%,-
7,B0CGPS5KGC,RENPHO Massage Gun,$109.99,4.7,3971,8%,-
8,B0CLNT8Y2G,ALLWEI Power Station,$589.00,4.5,1730,4%,-
9,B0DCTS4KLS,Dog Grass Artificial Turf,$109.99,4.0,2489,18%,-
10,B099GP11JW,Emraw Notebook,$106.00,4.6,1295,18%,-
11,B07DCF24YJ,KUMA Damascus Knife,$144.97,4.7,439,23%,-
12,B07MCM8NQY,Valera Green Screen,$139.00,4.3,710,21%,-
13,B079THJH1W,Open Goaaal Soccer Rebounder,$264.00,4.3,559,18%,-
14,B086DCVHQD,Open Goaaal Soccer Goal,$314.00,4.3,551,18%,-
15,B0CVQVC17N,FORM 36V Golf Charger,$259.95,4.6,1825,18%,-
16,B0CQYM4ML1,ALLWEI Power Station,"$1,299",4.5,1729,18%,-
17,B0B76QSBSY,Lumos Smart Bike Helmet,$139.95,4.6,1202,7%,1000
18,B09GNX8GGT,Xtreme Mats Golf Cart Mat,$117.00,4.8,823,18%,-
19,B07WX6MCGD,mifo True Wireless Earbuds,$139.00,4.0,722,18%,-
20,B0CN6962N1,Heavy Duty Fire Pit Tools,$109.99,4.8,613,18%,-
